['OTOF'],[[1.13172659]],[[0.47993911]],[[0.3272401]],[[0.22407348]],[[0.37043814]],[[0.74199567]],[[0.56290377]],[[0.92969122]],[[0.7300404]],[[0.85744015]],[[1.33287219]],[[1.94461722]],[[1.10630788]]
['ST3GAL5'],[[1.07907324]],[[0.43578793]],[[0.39391173]],[[0.4920138]],[[0.4679964]],[[0.59759154]],[[0.72068084]],[[0.66713744]],[[0.82249902]],[[0.87442067]],[[0.98684061]],[[1.00436504]],[[0.9586839]]
['PASK'],[[1.01384994]],[[0.38747523]],[[0.41784074]],[[0.44386784]],[[0.50429149]],[[0.37752878]],[[0.49802112]],[[0.77186113]],[[0.92998921]],[[0.90815142]],[[1.55821222]],[[1.68867168]],[[1.4370388]]
['TNR'],[[0.98844229]],[[0.30662492]],[[0.4216744]],[[0.1163827]],[[0.37043814]],[[0.16642042]],[[0.26847177]],[[0.58756124]],[[0.63909258]],[[0.76200563]],[[0.54591178]],[[0.80287143]],[[0.7720292]]
['CDK18'],[[1.28160049]],[[0.23203721]],[[0.60019566]],[[0.35453226]],[[0.6472972]],[[0.74476855]],[[0.90038689]],[[1.00008463]],[[1.06490469]],[[1.21030669]],[[1.39438846]],[[1.48000536]],[[1.39415179]]
['RCAN3'],[[0.86669574]],[[0.43607743]],[[0.42749469]],[[0.39606812]],[[0.35256483]],[[0.42985053]],[[0.60579563]],[[0.78555558]],[[0.85966673]],[[0.97225836]],[[0.75402677]],[[0.90154986]],[[0.80071343]]
['MAN1C1'],[[0.95525787]],[[0.37973336]],[[0.35443049]],[[0.32371378]],[[0.38203647]],[[0.51225225]],[[0.58009678]],[[0.75235639]],[[0.91956229]],[[0.94856148]],[[1.02754899]],[[1.14499595]],[[1.04986309]]
['BCL11A'],[[0.93144232]],[[0.47096284]],[[0.3917306]],[[0.44628158]],[[0.37006516]],[[0.64771746]],[[0.69305806]],[[0.79035125]],[[1.08124117]],[[1.09753375]],[[0.96630496]],[[1.08972827]],[[0.92822517]]
['SOCS2'],[[1.11457536]],[[0.425863]],[[0.43984161]],[[0.2344133]],[[0.44601528]],[[0.46046148]],[[0.59581691]],[[0.59718174]],[[0.80935002]],[[0.91625072]],[[0.9774158]],[[1.15646063]],[[1.05967341]]
['SORBS3'],[[1.09738467]],[[0.30794609]],[[0.35773466]],[[0.25088251]],[[0.35965121]],[[0.57073429]],[[0.70204149]],[[0.76303042]],[[0.9743497]],[[0.90385348]],[[1.11415173]],[[1.31449627]],[[1.19871157]]
['ADGRB2'],[[1.71797214]],[[0.43187379]],[[0.40959644]],[[0.24575602]],[[0.40442436]],[[0.77356656]],[[0.74689979]],[[0.47397863]],[[0.83513386]],[[0.76977391]],[[0.89842134]],[[1.08144401]],[[0.85736382]]
['LY9'],[[0.96135664]],[[0.32965137]],[[0.3290689]],[[0.34291652]],[[0.34000154]],[[0.43812172]],[[0.56775067]],[[0.71047262]],[[0.87749715]],[[0.94686161]],[[0.76106433]],[[0.9206806]],[[0.7877899]]
['FAM213A'],[[1.1638671]],[[0.47354576]],[[0.68944026]],[[0.58130729]],[[0.69988126]],[[0.75021229]],[[0.81606754]],[[0.82803401]],[[0.84641136]],[[0.89236582]],[[0.88438823]],[[1.16615897]],[[0.92504601]]
['CHPF'],[[1.13791331]],[[0.42701851]],[[0.52585102]],[[0.29763485]],[[0.39983687]],[[0.56902856]],[[0.60466445]],[[0.48294481]],[[0.9034784]],[[1.15933618]],[[0.8696948]],[[1.10482492]],[[0.98778797]]
['PLCG1'],[[1.03189056]],[[0.43097683]],[[0.4157019]],[[0.41205082]],[[0.40759787]],[[0.39941992]],[[0.56418271]],[[0.67047822]],[[0.89863121]],[[0.85921407]],[[0.86288116]],[[1.05156071]],[[0.92386107]]
['TOX2'],[[0.76117574]],[[0.35194408]],[[0.19977986]],[[0.28751402]],[[0.27912675]],[[0.34194784]],[[0.54335183]],[[0.49624962]],[[0.6154307]],[[0.42035703]],[[0.50345389]],[[0.7588937]],[[0.56976685]]
['PMEPA1'],[[0.83596658]],[[0.3495941]],[[0.32724009]],[[0.48332158]],[[0.4417256]],[[0.44058942]],[[0.44996093]],[[0.60774078]],[[0.85441328]],[[0.83786691]],[[0.73309559]],[[0.83786326]],[[0.75668071]]
['ZNF391'],[[1.29287991]],[[0.81022868]],[[0.34487622]],[[0.27959307]],[[0.64050747]],[[0.663175]],[[1.02945298]],[[0.79558123]],[[1.33080963]],[[1.21936029]],[[1.03744555]],[[1.21184102]],[[1.03380735]]
['NR1D1'],[[1.19030432]],[[0.43583876]],[[0.51067106]],[[0.36209195]],[[0.47078492]],[[0.60312118]],[[0.60781369]],[[0.75088291]],[[1.00697789]],[[1.0586655]],[[1.09185223]],[[1.16358855]],[[0.96073405]]
['ZNF835'],[[1.41559177]],[[0.41309068]],[[0.77644995]],[[0.30478868]],[[0.59674862]],[[0.32971848]],[[1.00158826]],[[0.73863552]],[[0.94272825]],[[1.03939628]],[[1.23086947]],[[1.37623387]],[[1.27178491]]
['MGAT3'],[[1.11855128]],[[0.46732197]],[[0.41037986]],[[0.40676941]],[[0.51157604]],[[0.67133111]],[[0.85995237]],[[0.89591117]],[[1.40780954]],[[1.54146624]],[[1.21260622]],[[1.70297181]],[[1.68150752]]
