['TLR4'],[[1.12041903]],[[2.80375306]],[[2.94442509]],[[3.60777989]],[[3.55022669]],[[2.36057935]],[[1.531466]],[[1.78867608]],[[1.26483645]],[[1.33266774]],[[1.19008498]],[[1.37690321]],[[1.14215312]]
['FLOT1'],[[0.99549005]],[[2.29780178]],[[2.3743624]],[[2.67694827]],[[2.50069064]],[[2.16579608]],[[1.71289577]],[[1.58507742]],[[1.09731855]],[[1.43403552]],[[0.96179898]],[[1.22182003]],[[0.99103961]]
['CASP5'],[[0.91268126]],[[2.58326277]],[[2.73615508]],[[3.27626468]],[[2.89898239]],[[3.04804076]],[[2.87763894]],[[2.12001099]],[[1.25856539]],[[1.50732889]],[[0.91814861]],[[1.52043537]],[[1.06640354]]
['MFSD13A'],[[0.91592244]],[[2.70047338]],[[2.85582824]],[[3.26906493]],[[3.04647496]],[[1.97909763]],[[1.55426517]],[[1.72694024]],[[1.3119985]],[[1.20742436]],[[1.03552273]],[[1.2294492]],[[1.12970902]]
['EXOC6'],[[1.12531747]],[[2.32316297]],[[2.49843082]],[[2.69285777]],[[2.51414221]],[[2.00061906]],[[1.41502463]],[[1.4221844]],[[1.00910267]],[[1.04310998]],[[0.9001944]],[[1.04478783]],[[0.86715507]]
['HECW2'],[[1.40944088]],[[2.93500086]],[[2.90370298]],[[3.73172603]],[[3.44457317]],[[3.04943268]],[[1.88320283]],[[1.94796296]],[[1.50961054]],[[1.58584225]],[[1.52576739]],[[1.69964092]],[[1.5163656]]
['ARHGAP24'],[[1.05813959]],[[2.38320929]],[[2.54167653]],[[2.83828372]],[[2.7972176]],[[2.53348523]],[[1.57337532]],[[1.5777568]],[[1.26045022]],[[1.12826206]],[[1.02365128]],[[1.16195595]],[[0.9984206]]
['FGD4'],[[1.08983945]],[[2.8664613]],[[3.05200037]],[[3.40994057]],[[3.17849524]],[[2.52695038]],[[1.6572918]],[[1.66969295]],[[1.206321]],[[1.22340811]],[[1.08764257]],[[1.26660774]],[[1.10216398]]
['RAB20'],[[0.95477118]],[[3.21478567]],[[3.2495622]],[[3.02399336]],[[2.68296197]],[[1.71995748]],[[1.72266469]],[[1.76787519]],[[1.45641895]],[[1.70773397]],[[1.12161404]],[[1.30703527]],[[1.0419157]]
['MCTP2'],[[1.21454523]],[[2.84073931]],[[3.17032935]],[[3.53018489]],[[3.23960619]],[[2.58246119]],[[1.70890974]],[[1.70882787]],[[1.30629929]],[[1.21565267]],[[1.17539353]],[[1.36036551]],[[1.15677987]]
['TRPM2'],[[1.12386043]],[[2.33224872]],[[2.34171182]],[[2.86122926]],[[2.57395211]],[[2.22588562]],[[1.59505061]],[[1.89049772]],[[1.54139589]],[[1.50838335]],[[1.26632912]],[[1.40106309]],[[1.22946299]]
['PGD'],[[1.01494128]],[[2.51510893]],[[2.58389134]],[[3.0196589]],[[2.90100455]],[[2.52976143]],[[1.87676262]],[[1.99719382]],[[1.52779506]],[[1.43910661]],[[1.17395875]],[[1.34293251]],[[1.15007621]]
['S100A8'],[[1.14329878]],[[3.05145158]],[[3.03301724]],[[3.35017611]],[[3.29089477]],[[3.12340196]],[[2.37558986]],[[2.43665293]],[[1.81765186]],[[1.60927664]],[[1.22992039]],[[1.49634933]],[[1.14364121]]
['RALB'],[[1.0300172]],[[2.56306835]],[[2.63220222]],[[3.21334331]],[[3.02640321]],[[2.35622352]],[[1.83587171]],[[1.92157609]],[[1.3848893]],[[1.24254499]],[[1.24099398]],[[1.43137115]],[[1.17672783]]
['GPR17'],[[1.62386375]],[[2.60337442]],[[1.58073915]],[[3.46972053]],[[3.118772]],[[2.31752968]],[[1.28112397]],[[2.18348304]],[[1.37743427]],[[0.33890039]],[[1.56943464]],[[1.98114429]],[[1.7435827]]
['CSRNP1'],[[1.04011565]],[[3.37832152]],[[3.19159145]],[[3.41666934]],[[3.25152377]],[[2.12255622]],[[1.84285832]],[[1.76188705]],[[1.28259929]],[[1.41199644]],[[1.25565145]],[[1.59276546]],[[1.19956309]]
['KLHL8'],[[1.05998595]],[[2.06889521]],[[2.12440555]],[[2.77520806]],[[2.69985554]],[[1.90182815]],[[1.33158994]],[[1.50543971]],[[1.07637384]],[[1.21722045]],[[0.9609701]],[[1.10154634]],[[0.96408287]]
['ROPN1L'],[[1.0827758]],[[2.69210205]],[[2.72676493]],[[3.34640847]],[[3.18163531]],[[2.57592375]],[[1.78798894]],[[2.01708313]],[[1.52526386]],[[1.31369788]],[[1.4030455]],[[1.56498884]],[[1.18895755]]
['MYO10'],[[1.34608734]],[[2.6611274]],[[2.99204864]],[[3.84916635]],[[3.96798706]],[[4.07092915]],[[3.2016787]],[[3.12151705]],[[2.27748591]],[[2.14556192]],[[1.7218562]],[[1.92405596]],[[1.39419329]]
['DOK3'],[[1.08264402]],[[2.8014927]],[[2.78220354]],[[3.01355001]],[[2.76441926]],[[2.48952613]],[[1.9277507]],[[2.03396967]],[[1.51392235]],[[1.50197306]],[[1.27931275]],[[1.49624622]],[[1.20251294]]
['PDSS1'],[[1.21927512]],[[2.72032875]],[[2.4449162]],[[2.79838965]],[[2.63974384]],[[1.72846171]],[[1.34802157]],[[1.46204384]],[[1.131135]],[[1.28392361]],[[1.07581535]],[[1.26948971]],[[1.02104178]]
['PSTPIP2'],[[0.99579096]],[[2.49135345]],[[2.57620733]],[[3.19130984]],[[3.09111856]],[[1.84034291]],[[1.05424007]],[[1.55539789]],[[1.2354262]],[[1.01419018]],[[1.1506368]],[[1.24389794]],[[1.12907056]]
['KCNK13'],[[0.87153355]],[[2.62809856]],[[3.00559831]],[[2.11851067]],[[1.75786919]],[[2.44434881]],[[1.83375807]],[[1.42433117]],[[0.94355038]],[[1.40246977]],[[0.80821242]],[[0.91842599]],[[0.90974125]]
['LY96'],[[0.93361898]],[[2.27980138]],[[2.5334311]],[[2.79886897]],[[2.67049532]],[[1.91977761]],[[1.59245122]],[[1.6123969]],[[1.09398011]],[[1.08548576]],[[0.86547872]],[[1.06017934]],[[0.76684149]]
['ATP6V1C1'],[[1.07137947]],[[1.92414316]],[[2.0726285]],[[2.84194391]],[[2.76499811]],[[1.90279018]],[[1.47397244]],[[1.55848655]],[[1.14835578]],[[1.13776021]],[[1.00368861]],[[1.21009588]],[[1.04362454]]
['FAM126B'],[[1.07168408]],[[2.3502753]],[[2.53714292]],[[2.83302608]],[[2.67505621]],[[2.25558147]],[[1.80404789]],[[1.67198598]],[[1.09358047]],[[1.04178014]],[[0.91210863]],[[1.1726203]],[[0.91868504]]
['TDRD9'],[[1.10345482]],[[3.07033345]],[[3.27076126]],[[3.89116132]],[[3.55974405]],[[2.85837529]],[[2.53207966]],[[3.33784335]],[[2.57929316]],[[1.94440814]],[[1.71114625]],[[2.066396]],[[1.65805253]]
['ETS2'],[[1.00811303]],[[2.60812135]],[[2.63424999]],[[3.25958079]],[[3.04771825]],[[2.21768698]],[[1.9516117]],[[2.06171084]],[[1.51281675]],[[1.37733308]],[[1.23162565]],[[1.4869992]],[[1.1927358]]
['B4GALT5'],[[1.04167604]],[[2.76298037]],[[2.89470605]],[[3.44129973]],[[3.26052457]],[[2.26596369]],[[1.69917123]],[[1.92411524]],[[1.28802504]],[[1.15338581]],[[1.04980138]],[[1.35953466]],[[1.11720861]]
['RGL4'],[[1.06005526]],[[3.47484933]],[[3.40793705]],[[3.79480381]],[[3.67450306]],[[2.705894]],[[2.02706206]],[[2.25415925]],[[1.65270342]],[[1.099987]],[[1.39130222]],[[1.64478253]],[[1.27729169]]
['HK3'],[[0.95821832]],[[2.47283942]],[[2.48022138]],[[2.87666464]],[[2.6960857]],[[2.60691574]],[[2.03052717]],[[2.19607983]],[[1.66246264]],[[1.68026048]],[[1.12264447]],[[1.32309559]],[[1.10657354]]
['S100A9'],[[1.10918677]],[[2.77342558]],[[2.81844269]],[[3.18493333]],[[3.08060123]],[[2.92015621]],[[2.38368149]],[[2.43993695]],[[1.81409078]],[[1.67894042]],[[1.28320141]],[[1.53836242]],[[1.22302615]]
['TGFA'],[[1.0171604]],[[2.72822211]],[[2.73247672]],[[3.09275558]],[[2.91199341]],[[2.46705744]],[[1.87787423]],[[1.94367636]],[[1.46987808]],[[1.17891052]],[[1.1396257]],[[1.31988623]],[[1.00890447]]
['SLC22A15'],[[1.13717723]],[[2.23776606]],[[2.24864508]],[[2.89712983]],[[2.56423759]],[[2.14083874]],[[1.476136]],[[1.57158933]],[[1.07436979]],[[1.24671024]],[[1.02220326]],[[1.1827965]],[[1.04247337]]
['PROK2'],[[1.19933011]],[[3.17529892]],[[3.31347995]],[[3.47722753]],[[3.28618225]],[[3.0302307]],[[2.54392923]],[[2.00942725]],[[1.40480223]],[[1.62096233]],[[1.18827278]],[[1.58143408]],[[1.26937885]]
