['IGFBP7'],[[1.30165023]],[[1.07869084]],[[1.10889955]],[[1.11373337]],[[1.11268905]],[[1.52692118]],[[1.46587667]],[[1.46346762]],[[1.13182562]],[[1.36873966]],[[0.87134261]],[[0.98978869]],[[0.764303]]
['HSPA4L'],[[1.51129658]],[[1.59971079]],[[2.53080874]],[[2.52397376]],[[1.89910983]],[[1.8704714]],[[1.94881232]],[[2.32246727]],[[1.77878327]],[[0.61313992]],[[1.71983296]],[[2.02515124]],[[1.74988209]]
['TMEM144'],[[1.21245134]],[[1.81546367]],[[1.87422133]],[[1.5299587]],[[1.22442588]],[[1.98583297]],[[1.58324763]],[[1.57563352]],[[1.19681313]],[[1.46358401]],[[0.92282357]],[[0.81429329]],[[0.78065272]]
['ABCA1'],[[0.86279819]],[[1.50962531]],[[1.52146838]],[[2.06944299]],[[1.62793299]],[[1.87398286]],[[2.11779878]],[[2.43909762]],[[1.79575565]],[[1.37489516]],[[1.51726358]],[[1.45709289]],[[1.15509187]]
['DDIAS'],[[0.91249029]],[[1.00542954]],[[0.87463049]],[[1.49470713]],[[1.12560428]],[[1.75638763]],[[1.58291416]],[[2.03185011]],[[1.44894288]],[[1.0761709]],[[1.02697382]],[[1.17771719]],[[0.94999617]]
['C10orf10'],[[1.44279531]],[[1.11134616]],[[2.06556149]],[[2.361075]],[[2.37215439]],[[1.33228459]],[[1.60561782]],[[2.76691369]],[[2.58931648]],[[1.83683967]],[[1.44580582]],[[1.63425215]],[[1.27359484]]
['RAPSN'],[[1.71269969]],[[1.29750126]],[[1.07233595]],[[1.61617116]],[[1.27508287]],[[1.50544813]],[[2.02878409]],[[2.20625752]],[[1.43928723]],[[1.04206216]],[[1.18226546]],[[1.33554877]],[[1.25130677]]
['CYB5R2'],[[2.49227727]],[[4.05047235]],[[3.7807173]],[[3.06715896]],[[3.72998594]],[[2.8026422]],[[3.46100186]],[[3.55718473]],[[3.94176269]],[[2.65440029]],[[1.88421972]],[[2.09081767]],[[1.39140782]]
['SERINC2'],[[1.05961256]],[[1.9549418]],[[1.91181901]],[[2.19864481]],[[2.09960312]],[[1.98835086]],[[2.22190766]],[[2.25424754]],[[1.84387201]],[[1.80009281]],[[1.51166175]],[[1.56134712]],[[1.57511896]]
['RNASE2'],[[0.97119934]],[[1.83619267]],[[1.93850905]],[[2.20255489]],[[2.25249501]],[[2.91785806]],[[2.8151585]],[[2.81951016]],[[2.27091807]],[[1.65005166]],[[1.36169057]],[[1.79847556]],[[1.47101535]]
