['ANKRD19P'],[[0.73638756]],[[1.11774328]],[[1.31261693]],[[1.09273115]],[[1.61275776]],[[1.63523545]],[[1.49839681]],[[1.54471324]],[[1.55730771]],[[1.25235832]],[[0.72151638]],[[0.99019543]],[[0.74439635]]
['CC2D2B'],[[1.57575747]],[[1.54602676]],[[1.84291498]],[[1.66830575]],[[2.15107764]],[[1.82312156]],[[1.42485686]],[[1.82333706]],[[1.52045684]],[[1.18648376]],[[1.18430321]],[[1.17406055]],[[0.78844944]]
['ANKRD34B'],[[1.82258279]],[[2.41845508]],[[2.08762711]],[[2.38057598]],[[2.77842695]],[[2.48902388]],[[2.80681209]],[[3.09887607]],[[2.53395231]],[[2.49584751]],[[1.52905032]],[[1.72252558]],[[1.19297313]]
['MAN2A2'],[[2.19747259]],[[2.62794227]],[[2.53550274]],[[2.5082432]],[[2.45148534]],[[1.49983626]],[[1.37208086]],[[1.73392969]],[[1.673667]],[[1.72782932]],[[1.20675442]],[[1.35245334]],[[1.11847391]]
['METTL9'],[[1.43955641]],[[2.60909966]],[[2.72034905]],[[2.82498545]],[[2.6147569]],[[2.46465349]],[[1.90509959]],[[2.19428954]],[[2.00019279]],[[1.67230949]],[[1.11379745]],[[1.29743308]],[[1.09474157]]
['MAFG'],[[1.33219701]],[[2.54908397]],[[2.37974018]],[[2.58306408]],[[2.27150264]],[[2.07472464]],[[1.66697733]],[[1.87101712]],[[1.62940832]],[[1.50813101]],[[1.13280282]],[[1.32238798]],[[1.17564559]]
['SLC22A4'],[[1.7413375]],[[2.64409999]],[[2.74917711]],[[2.73875053]],[[3.02742438]],[[2.69904432]],[[2.2997199]],[[2.68645835]],[[2.26898018]],[[2.1169505]],[[1.47089102]],[[1.81362426]],[[1.17944831]]
['SERPINA1'],[[1.36864196]],[[2.14127317]],[[2.16683845]],[[2.27109317]],[[2.27091535]],[[2.15630951]],[[1.78801591]],[[1.93376765]],[[1.46173898]],[[1.51270643]],[[1.12454402]],[[1.36683573]],[[1.04314313]]
['LRP10'],[[1.74969688]],[[2.27015778]],[[2.21791078]],[[2.29560424]],[[2.53907164]],[[1.77979579]],[[1.3178232]],[[1.79409367]],[[1.6228673]],[[1.66785254]],[[1.26529879]],[[1.45348338]],[[1.08229003]]
['SERPINB2'],[[0.55593098]],[[2.27928013]],[[2.05047123]],[[2.568251]],[[2.51287195]],[[1.99048903]],[[1.36443609]],[[1.98470454]],[[1.64871936]],[[1.20225665]],[[1.24974209]],[[1.34808987]],[[1.14935047]]
['CACNA1E'],[[2.07070685]],[[2.64215854]],[[2.69500003]],[[2.93827197]],[[3.45978325]],[[2.83912523]],[[2.60734684]],[[2.93712233]],[[2.15577947]],[[1.58936296]],[[1.51492642]],[[1.80498427]],[[1.10542895]]
['CES1'],[[0.79416952]],[[2.33212076]],[[2.38430357]],[[2.73308676]],[[2.76919002]],[[3.39389477]],[[2.05791067]],[[3.2751371]],[[2.92468738]],[[1.04892157]],[[2.16217033]],[[2.32277079]],[[0.90793235]]
['LINC00862'],[[1.93913782]],[[1.71375754]],[[2.45675364]],[[2.42137764]],[[2.54387141]],[[2.38204794]],[[2.71577512]],[[2.40151279]],[[1.60645426]],[[1.46177154]],[[1.28851864]],[[1.57820622]],[[1.16778042]]
['CD300LD'],[[1.75189058]],[[2.10216654]],[[2.37210255]],[[2.56283763]],[[1.84990662]],[[2.33820658]],[[2.13098298]],[[2.7283812]],[[1.84511962]],[[1.50745126]],[[2.06665778]],[[1.96424859]],[[1.13782217]]
['PSORS1C3'],[[1.47300623]],[[0.47511008]],[[1.57461296]],[[1.57645191]],[[1.987537]],[[1.03786799]],[[2.01512005]],[[1.99881598]],[[1.67125931]],[[1.02625398]],[[0.43138224]],[[0.82909566]],[[0.53623399]]
