['CR2'],[[0.50395863]],[[0.19283659]],[[0.13609656]],[[0.17304696]],[[0.19203027]],[[0.61583679]],[[0.70372919]],[[0.52194623]],[[0.6000954]],[[0.39068827]],[[0.66150471]],[[0.66559367]],[[0.82908982]]
['ZNF541'],[[0.99927733]],[[0]],[[0]],[[0.51074962]],[[0.33286483]],[[0.43409569]],[[0.20427482]],[[0.92081917]],[[0.6971533]],[[0.22994246]],[[0.99812784]],[[1.30236624]],[[1.00928238]]
['ELOVL4'],[[0.723514]],[[0]],[[0.17875127]],[[0.10503205]],[[0.4764687]],[[0.35710262]],[[0.72158306]],[[1.22705108]],[[0.86339429]],[[0.63498541]],[[1.57856497]],[[1.50991419]],[[0.37864629]]
['KLHL29'],[[1.09400961]],[[0.42941584]],[[0.4111652]],[[0.58828195]],[[0.2690901]],[[0.69965216]],[[1.10383609]],[[1.08923738]],[[0.79409825]],[[0.82207556]],[[1.06079116]],[[1.36461583]],[[1.5853519]]
['EPHX2'],[[0.64624568]],[[0.29504481]],[[0.25611475]],[[0.23020973]],[[0.18038728]],[[0.51494114]],[[0.61863052]],[[0.69029761]],[[0.53141551]],[[0.58268097]],[[0.64153528]],[[0.70852104]],[[0.91128487]]
['CD80'],[[0.64624589]],[[0]],[[0.4433282]],[[0.14140601]],[[0.13140927]],[[0.82045064]],[[0.15136968]],[[0.95477798]],[[0.75556795]],[[0.32346032]],[[0.75568228]],[[1.19231144]],[[0.40860896]]
['SARDH'],[[0.60217108]],[[0.25702519]],[[0.27034901]],[[0.35973883]],[[0.18855332]],[[0.40251315]],[[0.56722671]],[[0.87743799]],[[0.75161999]],[[0.65623132]],[[0.79461385]],[[1.12246066]],[[0.92627587]]
['PACSIN1'],[[1.28360139]],[[0.44363021]],[[0.38337887]],[[0.40790937]],[[0.3198885]],[[0.37523848]],[[0.35705996]],[[0.71405119]],[[0.68089845]],[[0.78050773]],[[1.30746226]],[[1.48216923]],[[0.99054662]]
['WNT1'],[[0]],[[1.35619848]],[[0]],[[1.70732536]],[[1.23684146]],[[1.26558985]],[[2.82462246]],[[2.48936734]],[[1.96276336]],[[0]],[[2.42537901]],[[3.18120818]],[[3.03613632]]
['GPR18'],[[0.43293372]],[[0.24310942]],[[0.31546172]],[[0.31793492]],[[0.28886541]],[[0.473252]],[[0.8320557]],[[0.73001573]],[[0.58342691]],[[0.60444837]],[[0.77414029]],[[0.87885882]],[[0.88962763]]
['SLC25A23'],[[0.50505693]],[[0.171169]],[[0.27371369]],[[0.30943156]],[[0.25551043]],[[0.54820978]],[[0.626845]],[[0.86280467]],[[0.67574346]],[[0.63976311]],[[0.80021846]],[[1.06617743]],[[1.07154797]]
['TNFSF9'],[[0.70865939]],[[0]],[[0.35912855]],[[0.21639265]],[[0.10471846]],[[0.48667904]],[[0.43047104]],[[0.84650696]],[[0.45212964]],[[0.25999218]],[[0.64343346]],[[1.09749819]],[[0.33026795]]
['LRFN3'],[[0.51751977]],[[0.136033]],[[0.25709367]],[[0.18347227]],[[0.26154681]],[[0.4393659]],[[0.44351687]],[[0.79445966]],[[0.66928996]],[[0.43343328]],[[0.82166023]],[[1.08824265]],[[0.75256347]]
['BCL11B'],[[0.57974826]],[[0.26357385]],[[0.26117593]],[[0.23358334]],[[0.24463494]],[[0.49417034]],[[0.56246165]],[[0.72033749]],[[0.59065325]],[[0.53467996]],[[0.79079779]],[[0.96206432]],[[0.91629946]]
['FBXL16'],[[0.48167089]],[[0.29590353]],[[0.21579222]],[[0.19028499]],[[0.12099107]],[[0.56181061]],[[0.55584637]],[[0.67664707]],[[0.57951109]],[[0.69859824]],[[0.72438896]],[[0.86819092]],[[0.87855783]]
['SPINK2'],[[0.79908636]],[[0.33344224]],[[0.41116518]],[[0]],[[0.46167455]],[[0]],[[0]],[[0.76274645]],[[0.87127478]],[[0.54672737]],[[0.71979861]],[[1.01165155]],[[1.13782183]]
['CDHR3'],[[0.82780332]],[[0.32801908]],[[0.3240228]],[[0.22004158]],[[0.26634964]],[[0.49417038]],[[0.61446699]],[[0.83445361]],[[0.53242545]],[[0.46152052]],[[0.96938634]],[[1.01900804]],[[1.05688664]]
['CACNG6'],[[0.51568902]],[[0.07083676]],[[0.08926]],[[0.02612093]],[[0.05861058]],[[0]],[[0.30511915]],[[0.33260796]],[[0.45073036]],[[1.45366451]],[[0.79169785]],[[0.77579406]],[[0.88148933]]
['CALY'],[[0.67083951]],[[0]],[[1.21352586]],[[0]],[[0.13109642]],[[0.55393544]],[[0.49120551]],[[1.02049085]],[[0.8533028]],[[0.54672755]],[[1.13949756]],[[1.46458437]],[[1.13782194]]
['DSC1'],[[0.69646499]],[[0.17833145]],[[0.16245511]],[[0.1845708]],[[0.13244015]],[[0.42048204]],[[0.55498142]],[[0.45586608]],[[0.29398579]],[[0.46785163]],[[0.46994838]],[[0.58933815]],[[0.79713566]]
['BICDL1'],[[0.63596882]],[[0.31972051]],[[0.29856905]],[[0.23471123]],[[0.21890779]],[[0.46247473]],[[0.70389405]],[[0.8304241]],[[0.68871146]],[[0.60803025]],[[0.90790932]],[[1.08252791]],[[0.87087814]]
['DTX1'],[[0.41187964]],[[0.10917264]],[[0.13710296]],[[0.17290646]],[[0.12261821]],[[0.57517307]],[[0.78771742]],[[0.58670191]],[[0.51388614]],[[0.49830045]],[[0.65550278]],[[0.74102619]],[[0.8777818]]
['SLC41A2'],[[0.99927727]],[[0.60410196]],[[0.31883105]],[[0.60330064]],[[0.30661622]],[[0.37022357]],[[0.73042781]],[[0.70094005]],[[0.50624807]],[[0.60251796]],[[1.02946023]],[[1.11418331]],[[0.92627587]]
