['GNLY'],[[1.29092861]],[[0.7424487]],[[0.58027132]],[[0.36036959]],[[0.80341604]],[[0.45994602]],[[0.64375533]],[[0.78271873]],[[0.97305099]],[[1.01968836]],[[1.42127727]],[[1.50536107]],[[1.2055798]]
['EPHA4'],[[1.11590395]],[[0.73549454]],[[0.69236498]],[[0.5458285]],[[0.5558096]],[[0.67876477]],[[0.88834788]],[[0.76462318]],[[0.88871433]],[[1.05150401]],[[1.18478726]],[[1.30698692]],[[1.14286404]]
['CRYZ'],[[1.18626058]],[[0.8482487]],[[0.73304628]],[[0.71332779]],[[0.73682507]],[[0.87142098]],[[0.77081784]],[[0.69659229]],[[1.07216468]],[[0.98708899]],[[1.12655094]],[[1.1499116]],[[1.18640054]]
['CD2'],[[1.31075293]],[[0.84473836]],[[0.85335173]],[[0.66447895]],[[0.76709835]],[[0.77425325]],[[0.82706434]],[[0.89836807]],[[1.13439435]],[[1.08372278]],[[1.29734835]],[[1.44849581]],[[1.2636427]]
['SLAMF1'],[[1.25663122]],[[0.73597627]],[[0.86863832]],[[0.81352581]],[[0.56647648]],[[0.73744742]],[[0.89759604]],[[0.8664112]],[[1.13394998]],[[0.95153853]],[[1.14723295]],[[1.2476602]],[[1.19052446]]
['PIK3R3'],[[0.87668261]],[[0.71821998]],[[0.30278621]],[[0.34870183]],[[0.93242234]],[[0.58953808]],[[0.40634272]],[[0.99694581]],[[1.25712281]],[[0.85343019]],[[1.27623978]],[[1.20305732]],[[0.9964163]]
['FASLG'],[[1.33058366]],[[0.60892581]],[[0.71251831]],[[0.47682944]],[[0.98661223]],[[0.59260428]],[[0.78926304]],[[0.82487596]],[[1.19948347]],[[1.0441329]],[[1.37871498]],[[1.45960918]],[[1.19303726]]
['KLF12'],[[1.15896649]],[[0.58084648]],[[0.58729263]],[[0.43661764]],[[0.59086459]],[[0.74554745]],[[0.83008834]],[[0.7785727]],[[0.97157879]],[[0.9898832]],[[1.19765734]],[[1.27892894]],[[1.19256671]]
['CCND2'],[[1.25071739]],[[0.9318478]],[[1.01880662]],[[0.82101716]],[[0.67744536]],[[0.85855641]],[[0.97628023]],[[0.9874494]],[[1.0966438]],[[1.15182715]],[[1.21967995]],[[1.27447348]],[[1.2742284]]
['TRIM32'],[[1.21033328]],[[0.60560016]],[[0.71365723]],[[0.59490513]],[[0.64392716]],[[0.7823111]],[[0.95963495]],[[1.01635485]],[[1.0096955]],[[1.0320117]],[[1.20256173]],[[1.3325573]],[[1.08122893]]
