['PLA2G2C'],[[1.43110591]],[[0.89545886]],[[0.52196747]],[[0]],[[0.59679385]],[[1.1921033]],[[2.14270078]],[[1.83342552]],[[1.71973771]],[[0.98708887]],[[1.28846385]],[[0.69893756]],[[1.39992954]]
['AC087499.1'],[[0.59355459]],[[0.6003849]],[[0.93765738]],[[0.54531207]],[[1.07220015]],[[0.71583012]],[[1.43719538]],[[0.89940008]],[[1.73295786]],[[1.94423122]],[[1.02766959]],[[1.65554209]],[[0.98792621]]
['RHCE'],[[0.79934058]],[[0.86481143]],[[0.90444516]],[[1.14165319]],[[0.77972543]],[[0.79889302]],[[1.09668453]],[[1.54738421]],[[2.05313764]],[[1.61053589]],[[1.2412221]],[[1.53518666]],[[1.24229096]]
['CTSE'],[[0.74013985]],[[0.5578383]],[[0.71186526]],[[0.83530326]],[[1.19841932]],[[1.08961079]],[[1.05872093]],[[1.38847733]],[[2.39346626]],[[1.45878212]],[[1.18062019]],[[0.98591663]],[[1.12379804]]
['SLC6A9'],[[0.74558357]],[[0.72148699]],[[0.76808108]],[[0.92807973]],[[0.97550551]],[[0.80131725]],[[1.08330317]],[[1.32861751]],[[2.50940274]],[[1.12866715]],[[1.19591803]],[[1.206561]],[[1.00300766]]
['KANK2'],[[0.78945385]],[[0.67073335]],[[0.6958826]],[[0.81821162]],[[0.93261253]],[[0.85865685]],[[1.00954295]],[[1.32502023]],[[2.2696485]],[[1.28079018]],[[1.29314683]],[[1.18962139]],[[1.01787282]]
['PLXNB3'],[[0.52562429]],[[0.97653001]],[[0.7515405]],[[0.79140714]],[[0.90648738]],[[0.79079851]],[[2.02838085]],[[2.75419301]],[[2.21703333]],[[1.78887518]],[[1.38580471]],[[0.88749938]],[[1.1685066]]
['DCAF12'],[[0.6360693]],[[0.64088585]],[[0.6278237]],[[0.73468375]],[[1.02902458]],[[0.91427942]],[[0.90272943]],[[1.14282327]],[[2.19828581]],[[1.08718843]],[[1.12896947]],[[1.08755439]],[[1.0995424]]
['TGM2'],[[0.5058717]],[[0.49163682]],[[0.46655327]],[[0.52774026]],[[0.69368079]],[[0.56846409]],[[0.7694962]],[[0.95949204]],[[1.8852221]],[[0.81331238]],[[0.70445809]],[[0.71865561]],[[0.68474656]]
['MPIG6B'],[[0.57959498]],[[0.61930261]],[[0.66333475]],[[0.70930245]],[[0.91158748]],[[0.84605786]],[[1.38500944]],[[1.8436004]],[[1.97995046]],[[1.48342596]],[[1.12996865]],[[0.97525193]],[[0.85696467]]
