N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
3,0.1701989353723432,0.7621676309992033,0.1706880387541906,0.7641295383897287,0.0478892983030635,60
4,0.1668258960878065,0.7675975268618649,0.168342092726617,0.767832331401112,0.0558414735091608,60
5,0.1624394090927349,0.7746011240279482,0.1632565541196446,0.7758747476819099,0.0574186632796069,60
6,0.1583741218136858,0.78103589218933,0.1591965897418574,0.7822144446775343,0.0575705940038125,60
7,0.1550830986606425,0.786206761829171,0.1559427895464643,0.7872689197324683,0.0593450702412618,60
8,0.1543838063612085,0.787301004902413,0.1570816183034362,0.7855118505040912,0.0613899954062433,60
9,0.1539032289077872,0.7880522091921888,0.1563400999053341,0.7866517505576717,0.0589949966512878,60
10,0.1552365052480686,0.7859664078845723,0.1567016518790653,0.7861033637168717,0.0623324125791579,60
20,0.1233725995328691,0.8343892166105933,0.1272431279821629,0.8305314227565933,0.0644291583479063,60
30,0.1092174582782956,0.8550211830106957,0.1133937596136512,0.8506096831387239,0.0662569916595807,60
40,0.0977491649056153,0.8713787507873569,0.1044129751079419,0.8634233220403411,0.068000086515902,60
50,0.0928097568781461,0.8783301176781146,0.101491705703416,0.8675691350986814,0.0690969182581144,60
60,0.089146062309347,0.8834508064352549,0.0974976241706255,0.8731218950887405,0.0702463037849525,60
70,0.0849395024816438,0.8892938932260255,0.094507986910059,0.877380731950761,0.0696496119360786,60
80,0.0811111450107867,0.894578468763201,0.0916696638087817,0.8812794162843052,0.0710001407613119,60
90,0.0777933704876415,0.8991331260113264,0.0902514650289808,0.8833080086571672,0.0708934343699469,60
100,0.0758616523741023,0.9017743993159224,0.0886386745593415,0.8855070616570235,0.0714262086786133,60
150,0.0679765527045478,0.9124765540978044,0.0847870893148596,0.8908993163743486,0.0731778435367309,60
200,0.0629646472357223,0.9192142613968014,0.0862725408251685,0.889169864615706,0.0742516170525245,60
250,0.0587537648882897,0.9248371752517808,0.0858812383341136,0.8898644856259051,0.0747825489530181,60
300,0.05533590528578604,0.9293761303160578,0.08780160297008152,0.8875535798056842,0.07546025096045343,60
