['FGR'],[[1.06218909]],[[1.12642334]],[[1.11578368]],[[1.23754477]],[[1.59787468]],[[1.7259599]],[[1.70796745]],[[1.39946097]],[[0.96274823]],[[1.21881816]],[[0.84527637]],[[1.1281363]],[[0.88784245]]
['RP2'],[[1.03895323]],[[1.3347104]],[[1.2557802]],[[1.33998157]],[[1.93109624]],[[1.4753018]],[[1.66509934]],[[1.53306844]],[[1.08915313]],[[1.30592379]],[[0.9278015]],[[1.12868575]],[[1.02873452]]
['DNAJC3'],[[1.09023703]],[[1.27629077]],[[1.26387088]],[[1.25821885]],[[1.75898101]],[[1.59444694]],[[1.65043786]],[[1.55247062]],[[1.03789491]],[[1.22978357]],[[0.97196605]],[[1.28034671]],[[1.08511782]]
['MGRN1'],[[1.0516322]],[[1.13326466]],[[1.17536759]],[[1.3071122]],[[1.67156091]],[[1.36122696]],[[1.28233473]],[[1.30422016]],[[1.01356397]],[[1.30940633]],[[0.99465227]],[[1.186708]],[[1.04252065]]
['MAPK3'],[[1.08005408]],[[1.20718764]],[[1.14916906]],[[1.29130354]],[[1.44029072]],[[1.48152914]],[[1.69279287]],[[1.39489981]],[[1.02362125]],[[1.27481442]],[[0.85916666]],[[1.04309325]],[[0.9003494]]
['GDPD3'],[[1.69648058]],[[1.77316324]],[[1.87565872]],[[1.87286111]],[[1.65213051]],[[1.75286099]],[[1.72435519]],[[1.73569144]],[[1.30955714]],[[1.39130829]],[[1.00322236]],[[1.32550191]],[[1.2509242]]
['NECAB2'],[[1.31824573]],[[1.39036774]],[[1.47463428]],[[1.48583477]],[[1.18416823]],[[1.2276443]],[[1.78638035]],[[1.23433898]],[[1.11601364]],[[1.40102473]],[[0.70771951]],[[1.27177871]],[[1.05989608]]
['MEFV'],[[1.07044746]],[[1.16144553]],[[1.14813134]],[[1.28290919]],[[1.61419321]],[[1.44633658]],[[1.58310842]],[[1.42743668]],[[1.01991618]],[[1.43083681]],[[0.93261356]],[[1.23440559]],[[1.14168698]]
['ZNF106'],[[1.2811011]],[[1.51999006]],[[1.51495757]],[[1.60130913]],[[1.87124863]],[[1.76718728]],[[1.67070353]],[[1.6397506]],[[1.17291228]],[[1.22212058]],[[1.07322276]],[[1.16807589]],[[1.16689241]]
['CPQ'],[[1.23932545]],[[1.31185972]],[[1.30880056]],[[1.45874216]],[[1.65082426]],[[1.46342035]],[[1.57156443]],[[1.4879526]],[[1.07834925]],[[1.34996645]],[[0.98008226]],[[1.25844791]],[[1.18903504]]
['TRPS1'],[[1.08545476]],[[1.0730151]],[[1.07744937]],[[1.2789176]],[[1.87466871]],[[1.48008976]],[[1.17452182]],[[1.47564011]],[[1.18053204]],[[1.01904078]],[[1.06207904]],[[1.04963091]],[[1.12343446]]
['ASAH1'],[[1.03338333]],[[1.15404697]],[[1.09791291]],[[1.20144502]],[[1.73890658]],[[1.44192796]],[[1.44665838]],[[1.59260951]],[[1.20900212]],[[1.22124069]],[[1.07236095]],[[1.10251965]],[[0.96462395]]
['FCGRT'],[[1.0475404]],[[1.14685032]],[[1.15723088]],[[1.26776017]],[[1.56261043]],[[1.30709184]],[[1.54534876]],[[1.47871479]],[[1.11197412]],[[1.37831073]],[[1.00166089]],[[1.12322676]],[[0.95979846]]
['RAB3D'],[[1.12351398]],[[1.38420279]],[[1.33114396]],[[1.45124298]],[[1.96071911]],[[1.55947245]],[[1.83836195]],[[1.58848647]],[[1.16402431]],[[1.43630962]],[[1.04007883]],[[1.14976932]],[[1.14340116]]
['PLPPR2'],[[1.10706732]],[[1.25438215]],[[1.24649465]],[[1.40781458]],[[1.84463386]],[[1.41178145]],[[1.6601766]],[[1.50388785]],[[1.16100544]],[[1.58622383]],[[1.11063104]],[[1.15115858]],[[1.02168961]]
['MOSPD3'],[[0.81341194]],[[0.89919836]],[[0.92404281]],[[1.03084675]],[[1.49533855]],[[1.14284303]],[[1.14066563]],[[1.31629688]],[[1.1349121]],[[1.01602033]],[[0.91493046]],[[0.86659699]],[[0.79960861]]
['IMPDH1'],[[1.05873158]],[[1.20693775]],[[1.2166646]],[[1.28208705]],[[1.69427236]],[[1.56968505]],[[1.8014559]],[[1.47855006]],[[1.0609017]],[[1.24236213]],[[0.84960946]],[[1.13560476]],[[0.91757988]]
['UBE2R2'],[[1.07261245]],[[1.24206137]],[[1.22985153]],[[1.2593265]],[[1.74752411]],[[1.62210948]],[[1.6811749]],[[1.50597632]],[[1.13946211]],[[1.26935007]],[[0.92967674]],[[1.18835884]],[[1.01355148]]
['MAP3K8'],[[1.07629777]],[[1.202742]],[[1.12849413]],[[1.25728401]],[[1.6418573]],[[1.37427576]],[[1.33848736]],[[1.33038409]],[[1.05266423]],[[0.91990064]],[[0.96662732]],[[1.1334288]],[[0.93164853]]
['P2RX1'],[[1.29191033]],[[1.52430682]],[[1.49802256]],[[1.67423825]],[[1.65813909]],[[1.82409733]],[[1.73739973]],[[1.56072358]],[[1.20802866]],[[1.44610211]],[[0.99438617]],[[1.18999391]],[[0.94211211]]
['GALK1'],[[0.88403233]],[[0.87403321]],[[0.93382716]],[[1.0309092]],[[1.30337067]],[[1.40751673]],[[1.56268118]],[[1.19796307]],[[0.96766538]],[[0.97811008]],[[0.70510839]],[[1.03522836]],[[0.75181859]]
['DUSP3'],[[1.11074488]],[[1.24405764]],[[1.28701569]],[[1.28920641]],[[1.78090156]],[[1.64576497]],[[1.62772534]],[[1.73951933]],[[1.43059161]],[[1.20696347]],[[1.07741042]],[[0.98977833]],[[0.96578984]]
['PRKAR1A'],[[1.10361546]],[[1.27302168]],[[1.23338759]],[[1.2689904]],[[1.77906399]],[[1.44050684]],[[1.54962981]],[[1.4336303]],[[1.07068102]],[[1.30986096]],[[1.02263028]],[[1.16331961]],[[1.04999654]]
['CHIC2'],[[1.1149421]],[[1.26147549]],[[1.27725657]],[[1.37339522]],[[1.93441981]],[[1.308007]],[[1.43849837]],[[1.43998093]],[[1.11105328]],[[1.45770582]],[[0.9738025]],[[1.15370601]],[[1.08174652]]
['UBE2D3'],[[0.99510291]],[[1.14507057]],[[1.19626909]],[[1.21755978]],[[1.6972048]],[[1.2684168]],[[1.32119496]],[[1.40539835]],[[1.23083725]],[[1.30998904]],[[0.99768232]],[[1.163407]],[[1.09379217]]
['GALNT7'],[[1.3026096]],[[1.3749543]],[[1.49801998]],[[1.45634488]],[[1.73112572]],[[1.47836664]],[[1.55151143]],[[1.61221398]],[[1.1477748]],[[1.34064766]],[[1.09883322]],[[1.24873579]],[[1.16176906]]
['HTATIP2'],[[1.07958685]],[[1.33456289]],[[1.22672386]],[[1.30418613]],[[1.59200106]],[[1.4012899]],[[1.5725072]],[[1.44219435]],[[1.04910334]],[[1.31198689]],[[0.89978545]],[[1.02418378]],[[1.03944626]]
['MS4A6A'],[[1.01462629]],[[1.07831993]],[[1.12011567]],[[1.26531108]],[[2.03501553]],[[1.75162778]],[[1.42314094]],[[1.79448955]],[[1.37103816]],[[1.19122326]],[[1.20090653]],[[1.15303191]],[[0.96403572]]
['RNF141'],[[1.067255]],[[1.22247788]],[[1.15460289]],[[1.23187512]],[[1.93139898]],[[1.57366746]],[[1.29267235]],[[1.46275768]],[[1.01841265]],[[1.1929383]],[[1.04023092]],[[1.13732109]],[[0.99394121]]
['CBL'],[[1.10169036]],[[1.26624615]],[[1.29711891]],[[1.35338756]],[[1.70286146]],[[1.55417033]],[[1.55974028]],[[1.49549977]],[[1.0809415]],[[1.22793853]],[[1.02236458]],[[1.22321362]],[[1.16537919]]
