['LTBP4'],[[0.60337273]],[[0.58912475]],[[0.54659061]],[[0.62220009]],[[0.46625468]],[[0.70361611]],[[0.33857048]],[[0.98357158]],[[0.84043567]],[[0.8537288]],[[1.14691828]],[[1.28039853]],[[1.14187994]]
['TFAP4'],[[0.59332051]],[[0.46353117]],[[0.4975464]],[[0.6017008]],[[0.41636335]],[[0.57684767]],[[0.2289652]],[[1.06273029]],[[0.92173973]],[[0.87042551]],[[1.00822643]],[[1.19295957]],[[1.04533231]]
['ESR1'],[[0.92476061]],[[0.70646676]],[[0.49958264]],[[0.74278663]],[[0.41455394]],[[0.7833226]],[[0.36886518]],[[1.12758394]],[[0.94432026]],[[0.85438129]],[[1.4477771]],[[1.06106394]],[[1.07887585]]
['WDR76'],[[0.57474104]],[[0.58374692]],[[0.49199987]],[[0.69035318]],[[0.50717371]],[[0.61696216]],[[0.30555703]],[[0.85197484]],[[0.63182042]],[[0.94753748]],[[0.8167861]],[[1.03003484]],[[0.90139187]]
['XYLB'],[[0.41887908]],[[0.31695797]],[[0.28362243]],[[0.3138747]],[[0.14797447]],[[0.60956085]],[[0.35181245]],[[0.48190931]],[[0.3844935]],[[0.60947805]],[[0.67514069]],[[0.66184136]],[[0.59833278]]
['MSH2'],[[0.87875165]],[[0.56693555]],[[0.54120249]],[[0.8162117]],[[0.63548706]],[[0.62770899]],[[0.43697829]],[[1.12410864]],[[0.95874672]],[[0.82575928]],[[1.01547633]],[[1.17598768]],[[1.06497252]]
['ABLIM1'],[[0.50358241]],[[0.37394711]],[[0.34500366]],[[0.55111641]],[[0.45293412]],[[0.42884148]],[[0.29373766]],[[0.92362385]],[[0.78149118]],[[0.84299962]],[[0.82868469]],[[0.93827988]],[[0.85694734]]
['TSPAN15'],[[0.60562103]],[[0.3885839]],[[0.38774974]],[[0.42930802]],[[0.28487489]],[[0.36170875]],[[0.25985348]],[[0.84380647]],[[0.63948613]],[[1.06673488]],[[0.82589332]],[[0.94521]],[[0.56281288]]
['H2AFY2'],[[0.35050967]],[[0.23941654]],[[0.43796233]],[[0.62097566]],[[0.43800509]],[[0.49779271]],[[0.5844184]],[[0.97895761]],[[0.84595461]],[[0.82575926]],[[0.8621732]],[[1.03664106]],[[0.98992945]]
['POLRMT'],[[0.53806886]],[[0.51049024]],[[0.52606361]],[[0.73879128]],[[0.52878262]],[[0.69685755]],[[0.50700934]],[[1.07037007]],[[0.94573871]],[[0.97715309]],[[1.00369939]],[[1.17984049]],[[1.01201998]]
['NEFH'],[[0.92476078]],[[0.31695801]],[[0.65930934]],[[1.11209311]],[[0.92352349]],[[0.70571584]],[[0.67338667]],[[1.61375239]],[[1.45643884]],[[1.1111524]],[[1.18682081]],[[1.50795262]],[[1.42505739]]
['PDGFB'],[[0.75053352]],[[0.56749882]],[[0.60750475]],[[0.64765139]],[[0.54849422]],[[0.69854245]],[[0.48747452]],[[1.04290447]],[[0.91996059]],[[1.14611427]],[[1.02895645]],[[1.16634903]],[[1.03940829]]
['RPL3'],[[0.47901117]],[[0.36866751]],[[0.43055457]],[[0.67945735]],[[0.54731987]],[[0.58444744]],[[0.33847394]],[[1.00390236]],[[0.85020493]],[[0.87457755]],[[0.89681589]],[[1.13332075]],[[1.00751141]]
['CACNA1I'],[[0.49766364]],[[0.40471508]],[[0.31685604]],[[0.52073457]],[[0.29301407]],[[0.49269086]],[[0.10458312]],[[0.78632718]],[[0.56741904]],[[0.88446267]],[[0.71277231]],[[0.88470682]],[[0.79782556]]
['POLR3H'],[[0.67089513]],[[0.47995085]],[[0.54729178]],[[0.74176169]],[[0.56401529]],[[0.60386159]],[[0.50944737]],[[1.11015871]],[[0.97681519]],[[0.82665214]],[[1.02600269]],[[1.20118088]],[[1.09253474]]
['CCNB1IP1'],[[0.55883328]],[[0.42763527]],[[0.52054269]],[[0.6221553]],[[0.52273222]],[[0.48132386]],[[0.21749704]],[[0.96858195]],[[0.81586528]],[[0.94363047]],[[0.98210486]],[[1.11449162]],[[1.00761621]]
['PROCR'],[[0.59008261]],[[0.50041535]],[[0.57415654]],[[0.21842188]],[[0.26873547]],[[0.39558595]],[[0.1317144]],[[0.64942722]],[[0.56060206]],[[0.61375717]],[[0.89963451]],[[1.05162096]],[[0.75019499]]
['PXMP4'],[[0.61098693]],[[0.49427395]],[[0.52054268]],[[0.68658816]],[[0.46067153]],[[0.64373781]],[[0.4844007]],[[1.12959327]],[[0.90293884]],[[0.96910234]],[[1.01374157]],[[1.22005849]],[[1.00705911]]
['ACTR5'],[[0.77687136]],[[0.63153698]],[[0.56276017]],[[0.79303964]],[[0.66234151]],[[0.80780545]],[[0.67790154]],[[1.15707525]],[[0.96011978]],[[0.83578579]],[[1.12226611]],[[1.29719109]],[[1.16627151]]
['RNF125'],[[0.74049474]],[[0.53164343]],[[0.40081858]],[[0.56588449]],[[0.45317746]],[[0.51419575]],[[0.29697806]],[[0.99706901]],[[0.79353016]],[[0.79470878]],[[0.94246112]],[[1.13419168]],[[0.97717221]]
['CACNA1F'],[[0.77050038]],[[0.43402938]],[[0.58165533]],[[1.1836942]],[[0.60682637]],[[0.44418456]],[[0.28510919]],[[1.12764968]],[[1.13149996]],[[0.95031027]],[[1.36577914]],[[1.21048687]],[[1.19427641]]
['MTMR8'],[[0.64291479]],[[0.51599195]],[[0.32591049]],[[0.52350535]],[[0.40480118]],[[0.5329907]],[[0.19332046]],[[0.75643381]],[[0.68157106]],[[0.74828412]],[[0.84937142]],[[0.96949096]],[[0.80757421]]
['ZDHHC15'],[[0.46990197]],[[0.27572342]],[[0.45672638]],[[0.41324127]],[[0.19512057]],[[0.53673057]],[[0.52306516]],[[0.72327292]],[[0.56525821]],[[0.64096626]],[[0.52758662]],[[0.86706877]],[[0.58708775]]
['DHODH'],[[0.60853595]],[[0.54261737]],[[0.66398503]],[[0.67352232]],[[0.51872055]],[[0.73020252]],[[0.49166494]],[[1.00009429]],[[0.84488231]],[[0.86400503]],[[0.92312658]],[[1.04094554]],[[0.9025878]]
['HAS3'],[[0.64625767]],[[0.65137151]],[[0.41833358]],[[0.52966369]],[[0.50539959]],[[0.79303905]],[[0.57859378]],[[0.98188078]],[[0.79991328]],[[0.77884538]],[[1.01296782]],[[1.12296091]],[[1.02957645]]
['SLC7A6'],[[0.61576179]],[[0.48271254]],[[0.45148077]],[[0.58316031]],[[0.41434758]],[[0.65130173]],[[0.48510598]],[[0.94518897]],[[0.75817663]],[[0.76804209]],[[0.85809697]],[[0.96690528]],[[0.80924987]]
['FBXO31'],[[0.66099474]],[[0.55396323]],[[0.48064726]],[[0.72820184]],[[0.55411073]],[[0.62129424]],[[0.45003074]],[[1.04052894]],[[0.85909403]],[[0.93538874]],[[1.03702197]],[[1.21339593]],[[1.06091258]]
['PIEZO1'],[[0.54834884]],[[0.48957325]],[[0.49759671]],[[0.66360917]],[[0.46652504]],[[0.7730177]],[[0.58053571]],[[1.10761648]],[[0.94123267]],[[0.94038326]],[[1.10275774]],[[1.20328766]],[[1.04085314]]
['CLUAP1'],[[0.58016448]],[[0.32275363]],[[0.37359208]],[[0.60413974]],[[0.43779232]],[[0.70950752]],[[0.2602578]],[[1.12266311]],[[0.89066573]],[[0.93028442]],[[1.09212834]],[[1.19358051]],[[0.98834457]]
