N,Train_MSE,Train_r,Test_MSE,Test_r,Avg_Topological_Entropy,Random seed
100,0.0045615022385335,0.9510500731988188,0.0052898241419256,0.9432631883393526,0.0774803362974368,20
150,0.0032329122794909,0.9655634676920352,0.0040495206606677,0.9568904432460228,0.078051594277169,20
200,0.002444017629486,0.9740789623198528,0.0032832043414007,0.965183418541636,0.078173150831965,20
250,0.0018847668577466,0.9800708176915482,0.0027093097445719,0.9713555183675228,0.0782113978952416,20
300,0.0017015138758384,0.9820262513217056,0.0026810790075795,0.9716738988686906,0.0782324257140029,20
2,0.0376783335545585,0.4577892621456232,0.0382922067270942,0.4555652560321506,0.0499075080559799,60
3,0.0368534158269499,0.4763146274715785,0.0376757042840347,0.4693832176797353,0.0558633433549036,60
4,0.0321075430782438,0.5713461516143779,0.0323485645159083,0.575004441512986,0.0567771530978178,60
5,0.0307585513511006,0.5955988654343028,0.0316473487785482,0.5875676691859798,0.0604745961976137,60
6,0.0297709113994358,0.6127437550396863,0.0298220850071915,0.6187262361687712,0.0598384645710027,60
7,0.0271461342693054,0.6561405196837947,0.0268202260064905,0.6670892183883688,0.0620286963830342,60
8,0.0271544539294022,0.6560071556415525,0.0277746539227157,0.6521255818967417,0.0622335530157467,60
9,0.0225630324566021,0.7257164570628679,0.0236001603404596,0.7153319334168591,0.0619905600773806,60
10,0.0237591601867913,0.7082171665085109,0.0244346147297795,0.7030869289564301,0.0646612548813308,60
20,0.0151899033911789,0.8254335263414284,0.0159759202187549,0.8181896930276769,0.069660141789694,60
30,0.0127483233810213,0.8558977198875507,0.0133694351263088,0.8504910638622307,0.072702382234893,60
40,0.0091711100791801,0.8986684611563014,0.0097451031866248,0.8934860105916993,0.0743944791282948,60
50,0.0080303462191366,0.9118861717171284,0.0087998701032357,0.904388179325674,0.0752065186712451,60
60,0.0075672259914774,0.9171978463483794,0.0084263670197795,0.9086467493319298,0.0755644816041186,60
70,0.006152807242447,0.9332331411873828,0.0069357574316182,0.9254731317463346,0.0763510948114242,60
80,0.0056326664679512,0.9390611309157753,0.0063406806014337,0.932100111313686,0.0771642116190137,60
90,0.0052252641921872,0.9436007865486368,0.0061134377223485,0.9346311440820264,0.0772397018171138,60
100,0.0045195599414838,0.9514131443697972,0.005405084370981,0.9424203162171414,0.0774529373591912,60
150,0.0032625759115953,0.965171722774715,0.0041013772210567,0.9566277602931176,0.0780800128972905,60
200,0.0024320100472256,0.9741562390397226,0.0033163372892456,0.9650945164847204,0.0781745434379192,60
250,0.0019963401945015,0.9788360558715375,0.0029165225586843,0.969366781368832,0.0782243995903417,60
300,0.0016413924608694,0.9826323072122388,0.0026647343836952,0.97206383910666,0.0782340503835649,60
110,0.004264213957743,0.9544219936355574,0.0048731939832548,0.9473497699407718,0.0778336715947467,46
120,0.0039656891344524,0.9576833883306988,0.0046436756885488,0.9499938727970312,0.0778539268884059,46
130,0.0035919315787934,0.9617511129312362,0.0042375180569329,0.9543913769723096,0.0778805369812306,46
140,0.0033796644676089,0.964053641017184,0.0041281158733483,0.955618064460813,0.0780582151561201,46
160,0.003179401506488,0.966220926176676,0.0038419324901431,0.9587412707588504,0.0781343744247922,46
170,0.0028494092831903,0.9697816020373042,0.0035958335455404,0.9614696089584408,0.0780516207710027,46
180,0.0026417614364163,0.9720154755668214,0.0032953853649477,0.9647325739557188,0.0781185102205477,46
190,0.0026080875875417,0.9723772533004204,0.0033771366979324,0.963919846457717,0.0781472079201355,46
210,0.0023286870480258,0.9753738508722678,0.0030783833741652,0.9671065932767504,0.0781835135878262,46
220,0.0022158788491657,0.9765811241412864,0.0029912953024388,0.9680574557919308,0.0782089452148139,46
230,0.0021339884522249,0.9774565810502136,0.0029210464832086,0.968825674420376,0.0782084564066106,46
240,0.0020880793250403,0.97794703386281,0.0028782604551275,0.9692883211876652,0.0782208098284035,46
260,0.0019126117818324,0.9798193131627042,0.0027686852210096,0.9704739812812696,0.0782252372223478,46
270,0.0018179834932618,0.9808275352517948,0.0026292623827774,0.9719932992876258,0.0782228075852979,46
280,0.0017453004340725,0.9816012376801752,0.0025749490479695,0.9725777789088104,0.0782316500127173,46
290,0.0017095923535893,0.9819811227132031,0.0025663893979877,0.9726824515464908,0.078222505620523,46
110,0.004291509714989,0.9540458609323528,0.0048672886033508,0.9477842409337358,0.0778634346110297,2
120,0.0038557887237033,0.9588120910757156,0.0045016838369251,0.9518051671377156,0.0778543432311292,2
130,0.0037359738518752,0.9601185639258212,0.0044637900270651,0.952222498655152,0.0779622705927287,2
140,0.0034606920530277,0.9631135518473444,0.0041933426483985,0.9552218425412672,0.0780438254662277,2
160,0.0030240800788854,0.9678447599064388,0.0037201565514233,0.9603826015850164,0.0780568703778695,2
170,0.0028939071532877,0.9692508692368548,0.0037084033661939,0.9605197893757637,0.0781123996513995,2
180,0.0027550627560494,0.9707484007416116,0.0035561040762902,0.9621255456067698,0.0781535387727225,2
190,0.0025626261483161,0.9728201497605397,0.0033849077198506,0.9640239000205876,0.078174932745654,2
210,0.0022644530359722,0.9760215590797928,0.0030829465794755,0.96724991842553,0.0781303856958528,2
220,0.0022474605561772,0.9762036869260424,0.0030630312945687,0.9674752485772308,0.0781917283107824,2
230,0.0021018760718099,0.9777626912632728,0.0029392253477219,0.968858114969406,0.0781876545770963,2
240,0.0021645771440975,0.9770915564755556,0.0030479274882701,0.9676545430818396,0.0782174818625181,2
260,0.0019871392010235,0.9789896117067466,0.0029057570434401,0.9691999971812312,0.0782250007621256,2
270,0.0018322389022722,0.9806435784718248,0.0027515134678833,0.9708532546060458,0.0782261349336513,2
280,0.0018019070530175,0.9809671238987676,0.0026683595140217,0.9717464857631068,0.0782229996615564,2
290,0.0017083242813421,0.9819646861374094,0.0026218650953945,0.9722698538764006,0.0782291344554992,2
110,0.0042399667821276,0.954775368235987,0.0049005904930556,0.9466734341933972,0.0777442332933487,10
120,0.004093106840106,0.95637757055814,0.0049793698918158,0.9457559084668532,0.0777780482872498,10
130,0.0036911817032397,0.9607488032050092,0.0043705434276961,0.9525452218898564,0.077904105928918,10
140,0.0032764355741981,0.9652387204374504,0.0040404759366187,0.95623939009223,0.0779686897672964,10
160,0.0030227363443819,0.967974927185514,0.0037645928060976,0.9592842524643688,0.0780786230724324,10
170,0.0027814729232008,0.9705698519498772,0.0035587597479549,0.9615388754594616,0.0781032910870199,10
180,0.0027270713010094,0.9711540148688153,0.0035553116076159,0.9615846286025194,0.0780742191130548,10
190,0.0025983309745272,0.9725350263278806,0.0034180049733904,0.963107333682899,0.0781310934786607,10
210,0.0023468807554439,0.9752267197994412,0.0032187262287989,0.9652947170365668,0.0782027624455086,10
220,0.0022463599815761,0.9763006860499166,0.0031067854956506,0.9665128698957228,0.0782122867307847,10
230,0.0021312739734904,0.9775288189299602,0.0029869519310716,0.9678330843763968,0.0782021278704871,10
240,0.0021081053286873,0.9777758748475364,0.0030360625513076,0.9673351937970324,0.0782026629571891,10
260,0.0018989584033525,0.9800032698976102,0.002806410444128,0.969820908191682,0.0782271000388232,10
270,0.001839099214946,0.9806398332215888,0.0027808292634171,0.970113078179726,0.0782269705672001,10
280,0.0017420785865366,0.9816707077685838,0.0026568042870031,0.9714836424230948,0.0782247252826385,10
290,0.0016870175564809,0.982255267113886,0.002580194874085,0.97231873094578,0.0782323128649262,10
110,0.0043490793602439,0.9534444544775807,0.0050544281299577,0.9455830340423286,0.0778862246071097,100
120,0.0039329049622146,0.9579973683161704,0.0046046363954808,0.9505645162986914,0.0777547203520506,100
130,0.0035789111250421,0.9618530705232584,0.0042544398879792,0.9543958513466534,0.0778307310966126,100
140,0.0034731435972784,0.96300209658888,0.0042095965766577,0.954931857622611,0.0779896696774112,100
160,0.0029701050236492,0.9684482873135788,0.0036859111899725,0.9606304060293436,0.0781282027659771,100
170,0.0028002056744302,0.9702808107143928,0.0035819738509886,0.9617494448586908,0.0781489043106749,100
180,0.0026558950439205,0.9718346226388,0.0033450160974596,0.9643317770071412,0.0781436051816327,100
190,0.002636444347106,0.9720438615829866,0.0034800608694744,0.9628966340478892,0.0781785062406583,100
210,0.0023120943633696,0.9755263991647292,0.0030911625759908,0.9670892743273166,0.0782068361758732,100
220,0.0022029230117712,0.9766957766994784,0.0029713241707101,0.968409494567872,0.0781960148154412,100
230,0.0021907902692922,0.9768256486252326,0.0030031426607397,0.968063785889636,0.0782195275642964,100
240,0.0020756045200337,0.9780577686486596,0.0028835554920616,0.9693282027315228,0.0782178105768252,100
260,0.001871429653735,0.980237982901124,0.00272834052948,0.9710484115634987,0.0782219580193433,100
270,0.0018527352871675,0.9804373622337684,0.0027173670462447,0.9711774425395148,0.0782222003285417,100
280,0.0017216300552009,0.9818344894942906,0.0025602746978661,0.972832237889308,0.0782246045479235,100
290,0.0017349366321356,0.9816927782375416,0.0026473205471057,0.9719115092664976,0.0782241949766407,100
110,0.0042036663398055,0.9549486999584048,0.0050208022312301,0.9463483465576388,0.0776141350094726,80
120,0.003812585717683,0.9592292368262644,0.00454556124544,0.951564791042949,0.0777716640530842,80
130,0.0037281922611359,0.9601504535912788,0.0045213297191721,0.9518187748379434,0.077921615943878,80
140,0.0034624496144198,0.9630454785956166,0.0042153453821753,0.9551622295254584,0.0780416139425461,80
160,0.0029588967172054,0.9685074937256116,0.0037611675786609,0.9601045765205284,0.0780812137678878,80
170,0.002910942139572,0.9690260490977692,0.0037192688446363,0.9605622992608512,0.0781135265395986,80
180,0.0027356625784613,0.9709190743197526,0.0036638776664913,0.9611742543954376,0.0781427218316108,80
190,0.0026323204031139,0.9720334456125052,0.0034905425856487,0.9630468319869752,0.0781696370989335,80
210,0.0023518978479678,0.9750509133783052,0.0031469512395251,0.966750820895439,0.0781837206091978,80
220,0.0022792904364003,0.9758306798402246,0.003125382508873,0.9669652545223024,0.0781777124396178,80
230,0.0021274988237493,0.9774588345401924,0.0030267534114027,0.96802566289584,0.0781892076582991,80
240,0.0020841280198203,0.9779235424282292,0.0030186172367259,0.9681295950615044,0.0782099552802072,80
260,0.0019485142979006,0.9793751895640732,0.0028554300981756,0.969869596936472,0.0782236435805746,80
270,0.0018135070528202,0.9808182104384648,0.0026959306485026,0.9715718286124126,0.0782209694749207,80
280,0.0018072829537775,0.98088468555912,0.0027325793409296,0.9711927576591686,0.0782319178922479,80
290,0.0016766008545327,0.982279363565463,0.002618080027644,0.9723977205731498,0.078226360886175,80
110,0.0040376923511996,0.9567984142055402,0.0046799746439345,0.9499632885518028,0.0777006876947424,20
120,0.0039935986560867,0.9572807260875452,0.0047143958322962,0.9496260046122093,0.07772771089307,20
130,0.0035341681298912,0.9622917663871996,0.0042873233625431,0.954261395357322,0.0779375820679213,20
140,0.0033021712433855,0.9648122830420908,0.0040482231268632,0.9568711655701476,0.077896564322711,20
160,0.0028552846348809,0.9696489911184508,0.0035806724384177,0.9619821055712778,0.0780395802445556,20
170,0.0027711594289459,0.9705567924731796,0.0035763635400406,0.9620168774796656,0.0780840939822077,20
180,0.0027634376765022,0.970640076001254,0.0036051623264785,0.961681639091614,0.0781365705198839,20
190,0.0025335281736645,0.9731165146527228,0.0033676310302699,0.9642892272128644,0.0781610111817478,20
210,0.0023627491329483,0.974951966176734,0.0031835930807135,0.9662782292288624,0.0781738636414677,20
220,0.0022407612731078,0.9762609203004976,0.0031657491368076,0.9664583627158254,0.0782161011177756,20
230,0.0021915547277266,0.9767884201420972,0.0030665811889409,0.967511207983748,0.0781940649404948,20
240,0.0020469914060423,0.97833650987903,0.0028840817136901,0.9694894873351668,0.0782176818261643,20
260,0.0018596544903443,0.9803390141560898,0.0027023282316424,0.9714711584646613,0.0782182211102551,20
270,0.0018754141430051,0.9801707118393502,0.0027805664892821,0.9705950238575568,0.0782253299804855,20
280,0.0018244806475766,0.9807145426847378,0.0027821561298387,0.970598933664898,0.0782307890768921,20
290,0.0017182891778372,0.981847409412292,0.0026393421894039,0.9721446251176836,0.0782303320122992,20
110,0.004182983404946,0.955116643983173,0.0050098017983747,0.9467571947229528,0.0776676943529238,60
120,0.003702639129561,0.9603773441222572,0.0044494045356636,0.9528629123813686,0.0776669020831812,60
130,0.0035842262579659,0.9616697738054668,0.0044000162621209,0.95339722337077,0.0779964306892296,60
140,0.00364414616681,0.9610159884462516,0.0045693292398031,0.951571030639569,0.0781235457206389,60
160,0.0030967873629951,0.9669717841999396,0.0039890676873984,0.957847512210806,0.0780667106219274,60
170,0.0028414545609342,0.9697375400164646,0.0037617302132876,0.9603057306184876,0.0780887557525662,60
180,0.0027560181220809,0.970661225877413,0.0036170640555784,0.9618596762907624,0.0781496133585408,60
190,0.0025927896233738,0.9724235102849736,0.0035216645225173,0.9628933990862244,0.078153537321332,60
210,0.002324541966447,0.9753127116223608,0.0032279543520656,0.9660450122832024,0.0781892665374151,60
220,0.0023037696585991,0.9755360849786276,0.0032724941017007,0.9655659665558398,0.0781943421575941,60
230,0.0022162962085557,0.9764761667056068,0.0031679534619846,0.9667084915972336,0.0782009168461247,60
240,0.002008342459357,0.9787074311571744,0.0029624018766356,0.968892378186662,0.0782204767523156,60
260,0.0018691952830044,0.980197591197426,0.0028119282236455,0.970480006608378,0.0782247436904114,60
270,0.0018459494724803,0.9804463155156428,0.002808581913032,0.9705576560210328,0.0782269195791449,60
280,0.0016881159776319,0.9821334265891388,0.0026143429005691,0.9726261870478892,0.0782235702351465,60
290,0.0017506558678345122,0.9814652730999006,0.002731087057014889,0.9713571114256465,0.07821847943011928,60
