['CFLAR'],[[1.03441706]],[[2.04367008]],[[2.2928558]],[[2.23053568]],[[2.14455489]],[[1.77019238]],[[1.50095839]],[[1.23806943]],[[1.18008978]],[[1.06630404]],[[0.84003819]],[[1.02534307]],[[0.84546046]]
['LPCAT3'],[[0.97780017]],[[2.11308505]],[[2.28345092]],[[2.20690828]],[[2.14438641]],[[1.93324216]],[[1.42623721]],[[1.26069686]],[[1.44330505]],[[1.11200676]],[[0.92762179]],[[1.10628632]],[[0.93248817]]
['NEDD9'],[[1.08554176]],[[1.91503607]],[[1.98419608]],[[1.88813106]],[[1.90030012]],[[1.10714409]],[[1.08594611]],[[1.03726715]],[[0.97135338]],[[1.04111207]],[[0.88483601]],[[1.0042504]],[[0.88115951]]
['RIPOR2'],[[1.12473998]],[[2.13846007]],[[2.24882512]],[[2.1983663]],[[2.13285166]],[[1.6714553]],[[1.3405965]],[[1.12778635]],[[1.19294119]],[[1.11650089]],[[0.84684156]],[[1.01535071]],[[0.87671527]]
['TREML2'],[[1.03436619]],[[2.18984198]],[[2.37536805]],[[2.33411593]],[[2.19159552]],[[1.63611836]],[[1.42707517]],[[1.13284625]],[[1.06448949]],[[1.11737082]],[[0.87264822]],[[1.05866954]],[[0.8729629]]
['E2F3'],[[1.10842972]],[[2.17412246]],[[2.19059297]],[[2.11700097]],[[2.08777282]],[[1.55423869]],[[1.25948537]],[[1.16572374]],[[1.16685928]],[[1.12223206]],[[0.93712549]],[[1.05579951]],[[0.92376599]]
['BTNL8'],[[1.05035065]],[[2.04514138]],[[2.2278496]],[[2.21071342]],[[2.06647545]],[[1.80953849]],[[1.4754283]],[[1.24655118]],[[1.06037136]],[[0.95058425]],[[1.05110799]],[[1.25244235]],[[1.01086043]]
['ERGIC1'],[[1.09153571]],[[2.42753542]],[[2.61064753]],[[2.5457883]],[[2.29070448]],[[1.51897785]],[[1.29503985]],[[1.09945475]],[[1.11904475]],[[1.15120321]],[[0.92497122]],[[1.0797416]],[[0.91359209]]
['GBE1'],[[1.10108205]],[[1.9590265]],[[1.9573401]],[[1.85160284]],[[1.94408757]],[[1.4744253]],[[1.41384837]],[[1.25097442]],[[1.12139428]],[[1.21727826]],[[0.91542661]],[[1.03864023]],[[0.93352258]]
['FRMD4B'],[[1.21081866]],[[1.75395427]],[[1.86085499]],[[1.86937492]],[[2.56215987]],[[1.71268354]],[[1.43706513]],[[1.33049958]],[[1.1397942]],[[1.05077221]],[[1.221297]],[[1.29246068]],[[1.14785874]]
['PECR'],[[1.05951001]],[[1.79169881]],[[1.89810009]],[[1.85618414]],[[1.79121409]],[[1.23759373]],[[1.24832944]],[[1.08538054]],[[1.03172385]],[[0.97348124]],[[0.98177358]],[[1.12243141]],[[0.99881582]]
['OTX1'],[[1.03108792]],[[2.42664095]],[[2.48624477]],[[2.6118257]],[[2.4070963]],[[2.10826127]],[[0.9255112]],[[0.91601955]],[[1.15135312]],[[1.08942774]],[[1.15328926]],[[1.25525553]],[[0.93016329]]
['ARID3A'],[[1.03190848]],[[1.92097939]],[[2.08638438]],[[1.96819046]],[[1.92912932]],[[1.51257111]],[[1.36798907]],[[1.26572792]],[[1.25386803]],[[1.19322165]],[[0.93661693]],[[1.06362165]],[[0.86970091]]
['IVNS1ABP'],[[1.10189479]],[[2.0440479]],[[2.02763574]],[[1.98898484]],[[2.11567666]],[[1.40014821]],[[1.0847478]],[[0.98188803]],[[0.94737702]],[[1.05282624]],[[1.03834816]],[[1.13119962]],[[0.99514283]]
['RGS2'],[[0.99241937]],[[2.21003553]],[[2.28075785]],[[2.32194718]],[[2.4319159]],[[2.04539174]],[[1.31721439]],[[1.04337266]],[[0.89892211]],[[1.08068562]],[[0.83093395]],[[0.92036697]],[[0.76561665]]
['CD58'],[[1.10146984]],[[1.92216287]],[[1.89799464]],[[1.89693102]],[[2.13700006]],[[1.8697882]],[[1.41805092]],[[1.09912042]],[[0.96251004]],[[1.08059165]],[[0.91795438]],[[1.01671257]],[[0.8774151]]
['OSCP1'],[[0.39641348]],[[1.74308202]],[[3.0594546]],[[2.58418593]],[[2.47147997]],[[0.5598045]],[[0.86372191]],[[0.24065587]],[[0.73799435]],[[0]],[[0.73416233]],[[0.8285014]],[[0.78908254]]
['CTBS'],[[0.96359565]],[[1.85618589]],[[1.89855193]],[[1.8223538]],[[1.91731409]],[[1.71599034]],[[1.33236101]],[[1.1053842]],[[0.99156712]],[[0.98320875]],[[0.81279953]],[[0.97624162]],[[0.82312195]]
