['NDUFAF7'],[[1.32667604]],[[1.81263581]],[[1.96348333]],[[2.04357273]],[[1.6752644]],[[1.25086506]],[[1.16771316]],[[0.82483314]],[[0.80081442]],[[0.9905659]],[[0.91579102]],[[0.84412173]],[[0.87862028]]
['N4BP1'],[[1.44443142]],[[1.85070705]],[[1.90219124]],[[2.00156751]],[[1.87960054]],[[1.59194446]],[[1.55046242]],[[1.11041601]],[[0.96747608]],[[1.36117207]],[[1.06550886]],[[0.97227278]],[[1.07823149]]
['USP10'],[[1.3054012]],[[1.37244748]],[[1.52817246]],[[1.39185096]],[[2.01881356]],[[1.03307666]],[[1.06789604]],[[0.95705004]],[[1.22461018]],[[1.49290776]],[[1.2280275]],[[0.94564275]],[[1.13147271]]
['BCKDK'],[[1.69977772]],[[1.8539168]],[[1.67605722]],[[1.75269418]],[[1.89945465]],[[1.40157661]],[[1.18523403]],[[1.07939441]],[[1.29697009]],[[1.57926523]],[[1.19260223]],[[1.07611839]],[[1.19773638]]
['NBN'],[[1.66976315]],[[1.88240963]],[[2.18991315]],[[2.12329014]],[[2.16310697]],[[1.43294485]],[[1.85578507]],[[1.49365013]],[[1.2138794]],[[1.44095865]],[[1.24358386]],[[1.17234838]],[[1.26134428]]
['UBE2W'],[[1.24464693]],[[1.77543365]],[[2.26975378]],[[1.9555558]],[[1.98050374]],[[1.42381896]],[[1.58319236]],[[1.23803352]],[[1.11874071]],[[1.37240479]],[[1.11759624]],[[0.96039118]],[[1.04015982]]
['EMC2'],[[1.19697123]],[[1.77879746]],[[1.99276499]],[[1.8897963]],[[1.91892438]],[[1.33782167]],[[1.25203095]],[[1.14861998]],[[1.04136792]],[[1.29846089]],[[1.09365422]],[[1.00674398]],[[1.07681843]]
['ERI1'],[[1.06662123]],[[1.93227785]],[[2.15206697]],[[1.95387722]],[[2.07194774]],[[1.14764245]],[[1.16569461]],[[1.14196999]],[[0.93211327]],[[1.22353333]],[[0.97228787]],[[0.92717692]],[[1.0657818]]
['CCDC9'],[[1.24484648]],[[1.85319075]],[[1.68765658]],[[1.77985616]],[[1.67484527]],[[1.28513416]],[[0.93125292]],[[0.94994666]],[[1.02412947]],[[1.27857092]],[[0.99203314]],[[1.07399007]],[[1.01214052]]
['ELL'],[[1.53000466]],[[1.80540608]],[[1.75409239]],[[1.8314605]],[[1.74143452]],[[1.32024433]],[[1.22597614]],[[1.00056835]],[[1.05991089]],[[1.33955025]],[[1.0039174]],[[0.9052981]],[[0.98396047]]
['HBP1'],[[1.48646368]],[[1.93151395]],[[2.01463754]],[[2.0099512]],[[1.86659452]],[[1.36216511]],[[1.32595249]],[[1.18254077]],[[1.04632438]],[[1.40212783]],[[1.06306341]],[[0.96120559]],[[1.06229864]]
['ZC3HAV1'],[[1.28150382]],[[2.34903021]],[[2.34560617]],[[2.24944032]],[[2.05575013]],[[1.19885882]],[[1.16525141]],[[1.17158094]],[[1.05076927]],[[1.19472713]],[[0.9548101]],[[1.23048748]],[[1.00162471]]
['COA1'],[[1.73767831]],[[1.72214883]],[[1.85826997]],[[1.89770753]],[[1.68150189]],[[0.82670804]],[[0.76509057]],[[0.77772402]],[[0.81959446]],[[1.20018404]],[[0.85743123]],[[0.94381467]],[[0.87951341]]
['SHOC2'],[[1.37206003]],[[1.75197477]],[[1.9563763]],[[1.85699011]],[[1.94022507]],[[1.43961975]],[[1.5177923]],[[1.20922221]],[[1.20138957]],[[1.52645529]],[[1.12694405]],[[0.96998693]],[[1.11443857]]
['TSPAN14'],[[1.30345973]],[[1.80671576]],[[1.70163989]],[[1.73550604]],[[1.78243084]],[[1.22684288]],[[1.12314397]],[[1.04809987]],[[1.06020254]],[[1.24603084]],[[1.00327245]],[[1.07907081]],[[1.02476763]]
['NUFIP2'],[[1.11363984]],[[1.76890838]],[[1.95525356]],[[1.7932586]],[[1.75334626]],[[1.26614291]],[[1.34715875]],[[1.0756055]],[[0.96465402]],[[1.17419054]],[[0.98909403]],[[0.93245318]],[[0.98883586]]
['RAPGEFL1'],[[1.74903245]],[[1.8805914]],[[1.87748963]],[[1.88278222]],[[1.88758327]],[[1.52977303]],[[1.48832066]],[[1.40457333]],[[1.25175242]],[[1.59394094]],[[1.2658596]],[[1.15413915]],[[1.26640195]]
['MLX'],[[1.49355905]],[[1.64540742]],[[1.44418281]],[[1.53142837]],[[1.73068084]],[[1.15581636]],[[1.13089271]],[[0.98888269]],[[1.07195561]],[[1.32404905]],[[1.0013494]],[[1.01836274]],[[1.02509183]]
['IFT20'],[[1.3856959]],[[1.90387933]],[[1.85214705]],[[2.10799186]],[[1.81041971]],[[1.29243892]],[[1.21022191]],[[1.0729232]],[[1.28378929]],[[1.51478554]],[[1.14961552]],[[1.08227094]],[[1.14854465]]
['PHF12'],[[1.71805098]],[[1.74815323]],[[1.77883335]],[[1.88183413]],[[1.70165137]],[[1.38386927]],[[1.25058136]],[[1.00872466]],[[1.05022319]],[[1.32740585]],[[1.05282569]],[[0.9563072]],[[1.00094402]]
['ELF2'],[[2.01671319]],[[2.06806111]],[[2.29019393]],[[2.33132355]],[[1.96644141]],[[1.23675692]],[[1.2264595]],[[1.06482325]],[[1.06000124]],[[1.37463987]],[[1.07650145]],[[0.96082528]],[[1.06349704]]
['NUP98'],[[1.49130363]],[[1.79263921]],[[1.73490031]],[[1.80297003]],[[1.7500938]],[[1.18069547]],[[1.15995162]],[[1.02961964]],[[1.18908877]],[[1.44721108]],[[1.07702476]],[[0.95059333]],[[1.06002211]]
['ARPC3'],[[1.45809153]],[[1.92506078]],[[1.91424085]],[[1.97679895]],[[2.05704584]],[[1.67177876]],[[1.48395551]],[[1.30881941]],[[1.34425845]],[[1.60263929]],[[1.18757857]],[[1.01275415]],[[1.18698252]]
['UHRF1BP1L'],[[1.56691469]],[[1.7417063]],[[1.98381001]],[[1.92021989]],[[1.89755624]],[[1.66947466]],[[1.73685288]],[[1.31994046]],[[1.13148948]],[[1.49288691]],[[1.14153161]],[[1.02567757]],[[1.1255923]]
